timestamp,target_x,target_y,target_z,std_x,std_y,std_z,prop_x,prop_y,prop_z,err_std_mm,err_prop_mm,delay_ms,tau_filt_ms
0.0,0.18529,0.29769,0.9,0.18032,0.39386,0.9,0.18037,0.39284,0.9,102.45,102.45,167.5,150.7
0.0163,0.18529,0.29769,0.9,0.18062,0.38809,0.9,0.18071,0.38618,0.9,96.3,95.28,167.5,151.4
0.0322,0.18529,0.29769,0.9,0.1809,0.38267,0.9,0.18103,0.37998,0.9,90.53,88.61,167.5,152.0
0.0483,0.18529,0.29769,0.9,0.18116,0.37757,0.9,0.18133,0.37422,0.9,85.09,82.41,126.3,151.0
0.0646,0.18529,0.29769,0.9,0.18141,0.37277,0.9,0.18161,0.36886,0.9,79.99,76.64,126.3,150.0
0.081,0.18529,0.29769,0.9,0.18164,0.36827,0.9,0.18187,0.36388,0.9,75.19,71.27,148.4,149.9
0.0971,0.18529,0.29769,0.9,0.18186,0.36403,0.9,0.18211,0.35925,0.9,70.68,66.28,148.4,149.9
0.1135,0.18529,0.29769,0.9,0.18206,0.36005,0.9,0.18233,0.35494,0.9,66.44,61.64,148.4,149.8
0.1299,0.18529,0.29769,0.9,0.18226,0.35631,0.9,0.18253,0.35093,0.9,62.45,57.33,148.4,149.8
0.1475,0.18529,0.29769,0.9,0.18244,0.35279,0.9,0.18273,0.3472,0.9,58.7,53.32,196.7,151.6
0.1641,0.18529,0.29769,0.9,0.18261,0.34949,0.9,0.18291,0.34374,0.9,55.18,49.58,196.7,153.4
0.1798,0.18599,0.29682,0.9,0.18281,0.34633,0.9,0.1836,0.33987,0.9,52.77,46.74,141.4,153.0
0.1953,0.18641,0.29666,0.9,0.18303,0.34335,0.9,0.18406,0.33649,0.9,49.8,43.22,141.4,152.5
0.2107,0.18592,0.2969,0.9,0.1832,0.34056,0.9,0.18481,0.3337,0.9,46.54,39.86,177.7,153.5
0.2262,0.18626,0.29662,0.9,0.18339,0.33792,0.9,0.1856,0.33127,0.9,44.04,36.91,177.7,154.5
0.2421,0.18694,0.29679,0.9,0.1836,0.33546,0.9,0.18633,0.3279,0.9,41.29,34.23,177.7,155.4
0.2582,0.18703,0.29681,0.9,0.1838,0.33314,0.9,0.18662,0.32474,0.9,38.8,30.7,181.8,156.5
0.2745,0.18769,0.297,0.9,0.18404,0.33097,0.9,0.18711,0.32214,0.9,36.34,27.13,181.8,157.5
0.2903,0.18804,0.29742,0.9,0.18428,0.32896,0.9,0.18758,0.3198,0.9,33.78,24.14,181.8,158.4
