timestamp,tau_raw_ms,tau_filt_ms,err_std_mm,err_prop_mm
1.5115,94.0,127.0,3.62,0.17
1.5215,84.6,125.3,4.58,0.2
1.5315,119.1,125.1,0.3,0.12
1.5415,168.8,126.8,6.28,0.3
1.5516,94.6,125.5,3.42,0.17
1.5616,137.8,126.0,2.22,0.16
1.5716,146.9,126.9,3.23,0.19
1.5816,94.7,125.6,3.52,0.18
1.5916,144.1,126.3,2.89,0.18
1.6016,108.3,125.6,1.78,0.14
1.6116,135.1,126.0,1.69,0.15
1.6216,135.5,126.4,1.65,0.15
1.6316,126.1,126.3,0.36,0.12
1.6416,82.0,124.6,5.21,0.24
1.6517,156.9,125.9,4.52,0.23
1.6617,105.9,125.1,2.17,0.15
1.6717,92.9,123.8,3.66,0.19
1.6817,78.8,122.0,5.21,0.24
1.6917,134.4,122.5,2.08,0.15
1.7017,143.6,123.3,3.11,0.17
1.7117,78.1,121.5,5.31,0.25
1.7217,128.2,121.8,1.31,0.13
1.7317,100.3,120.9,2.29,0.15
1.7417,142.8,121.8,3.19,0.17
1.7518,96.3,120.8,2.83,0.17
1.7618,148.7,121.9,3.91,0.19
1.7718,119.0,121.8,0.06,0.12
1.7818,174.7,123.9,6.94,0.29
1.7918,95.5,122.8,3.43,0.2
1.8018,116.6,122.5,0.57,0.12
1.8118,94.6,121.4,3.3,0.19
1.8218,176.5,123.6,7.19,0.3
1.8318,172.6,125.6,6.26,0.25
1.8418,111.5,125.0,1.81,0.15
1.8519,152.5,126.1,3.47,0.16
1.8619,169.1,127.8,5.34,0.21
1.8719,143.8,128.5,1.84,0.12
1.8819,142.1,129.0,1.52,0.11
1.8919,114.2,128.4,2.12,0.17
1.9019,100.2,127.3,3.74,0.22
1.9119,181.5,129.5,6.71,0.25
1.9219,182.8,131.6,6.46,0.24
1.9319,156.9,132.6,2.83,0.12
1.9419,128.5,132.4,0.99,0.14
1.952,130.4,132.4,0.7,0.13
1.962,169.0,133.8,4.26,0.16
1.972,187.1,135.9,6.27,0.21
1.982,187.0,138.0,5.88,0.19
1.992,177.2,139.6,4.3,0.14
2.002,164.4,140.6,2.44,0.1
2.012,109.5,139.3,4.67,0.29
2.022,118.2,138.5,3.31,0.24
2.032,192.9,140.6,6.3,0.2
2.042,164.6,141.6,2.38,0.1
2.0521,105.8,140.2,5.21,0.3
2.0621,116.0,139.2,3.62,0.24
2.0721,173.1,140.6,3.8,0.13
2.0821,108.2,139.3,4.62,0.28
2.0921,124.6,138.7,2.27,0.19
2.1021,164.3,139.7,2.86,0.11
2.1121,179.5,141.3,4.6,0.15
2.1221,176.4,142.7,3.93,0.12
2.1321,134.5,142.4,1.61,0.18
2.1421,184.2,144.0,4.76,0.14
2.1522,137.5,143.8,1.44,0.17
2.1622,147.2,143.9,0.29,0.13
2.1722,190.1,145.8,5.29,0.17
2.1822,181.2,147.2,3.86,0.12
2.1922,202.0,149.4,6.23,0.19
2.2022,183.6,150.7,3.55,0.11
2.2122,175.4,151.7,2.32,0.1
2.2222,128.7,150.8,3.77,0.25
2.2322,156.8,151.0,0.35,0.12
2.2422,147.2,150.9,1.24,0.15
2.2523,145.8,150.7,1.35,0.15
2.2623,219.3,153.4,8.02,0.27
2.2723,162.0,153.8,0.47,0.12
2.2823,212.5,156.1,6.65,0.21
2.2923,187.0,157.4,3.05,0.1
2.3023,203.9,159.2,4.99,0.15
2.3123,175.2,159.9,1.15,0.11
2.3223,183.1,160.8,2.03,0.1
