timestamp,target_x,target_y,target_z,std_x,std_y,std_z,prop_x,prop_y,prop_z,err_std_mm,err_prop_mm,delay_ms,tau_filt_ms
0.0,0.20311,0.30727,0.9,0.18139,0.39444,0.9,0.18162,0.39351,0.9,95.57,95.57,113.2,148.5
0.1623,0.15534,0.35631,0.9,0.17982,0.39215,0.9,0.17902,0.39111,0.9,46.17,50.51,174.9,149.6
0.2234,0.1309,0.36322,0.9,0.17689,0.39041,0.9,0.17607,0.38902,0.9,56.84,51.71,107.8,147.9
0.254,0.12468,0.36584,0.9,0.17376,0.38894,0.9,0.17243,0.3874,0.9,57.7,56.92,152.1,148.1
0.2998,0.11724,0.3671,0.9,0.17037,0.38763,0.9,0.16857,0.38597,0.9,60.59,58.77,153.6,148.3
0.346,0.11779,0.36637,0.9,0.16721,0.38635,0.9,0.16483,0.38465,0.9,56.71,56.59,166.0,149.0
0.3794,0.11196,0.36796,0.9,0.1639,0.38525,0.9,0.16112,0.38348,0.9,58.24,55.59,150.5,149.1
0.3979,0.1077,0.36825,0.9,0.16052,0.38423,0.9,0.15744,0.38241,0.9,58.71,54.75,140.9,148.7
0.4581,0.103,0.36862,0.9,0.15707,0.38329,0.9,0.15366,0.38145,0.9,59.6,55.83,145.3,148.6
0.5496,0.09934,0.3691,0.9,0.15361,0.38244,0.9,0.14982,0.38054,0.9,59.45,56.32,197.6,150.6
0.5653,0.09732,0.36901,0.9,0.15023,0.38164,0.9,0.14622,0.3797,0.9,57.87,52.75,114.2,149.1
0.6394,0.09481,0.36749,0.9,0.14691,0.38079,0.9,0.14263,0.37883,0.9,57.2,52.86,163.3,149.7
0.6553,0.0949,0.367,0.9,0.14379,0.37996,0.9,0.13928,0.37802,0.9,53.8,49.16,131.6,149.0
0.7449,0.09495,0.36686,0.9,0.14085,0.37917,0.9,0.13615,0.37727,0.9,50.56,45.99,188.0,150.5
0.7609,0.09444,0.36739,0.9,0.13807,0.37847,0.9,0.13323,0.37657,0.9,47.89,42.89,162.2,151.0
