timestamp,target_x,target_y,target_z,std_x,std_y,std_z,prop_x,prop_y,prop_z,err_std_mm,err_prop_mm,delay_ms,tau_filt_ms
0.0,0.21342,0.30872,0.9,0.18201,0.39452,0.9,0.18234,0.39361,0.9,97.21,97.21,138.8,149.6
0.0165,0.21342,0.30872,0.9,0.18389,0.38937,0.9,0.18451,0.38767,0.9,91.38,90.4,138.8,149.1
0.0323,0.21342,0.30872,0.9,0.18566,0.38453,0.9,0.18654,0.38214,0.9,85.89,84.08,138.8,148.7
0.0481,0.21342,0.30872,0.9,0.18733,0.37999,0.9,0.18842,0.377,0.9,80.74,78.19,118.7,147.5
0.0637,0.21342,0.30872,0.9,0.18889,0.37571,0.9,0.19017,0.37222,0.9,75.9,72.72,118.7,146.4
0.0803,0.21342,0.30872,0.9,0.19036,0.37169,0.9,0.1918,0.36778,0.9,71.34,67.63,199.1,148.5
0.0959,0.21342,0.30872,0.9,0.19175,0.36791,0.9,0.19331,0.36364,0.9,67.06,62.89,199.1,150.5
0.1118,0.21342,0.30872,0.9,0.19305,0.36436,0.9,0.19472,0.3598,0.9,63.04,58.49,199.1,152.4
0.1266,0.21342,0.30872,0.9,0.19427,0.36102,0.9,0.19603,0.35622,0.9,59.26,54.4,199.1,154.3
0.1422,0.21336,0.30876,0.9,0.19541,0.35789,0.9,0.19724,0.3529,0.9,55.64,50.59,125.7,153.2
0.158,0.20596,0.31434,0.9,0.19605,0.35527,0.9,0.19838,0.3498,0.9,44.8,47.05,125.7,152.1
0.174,0.20242,0.31701,0.9,0.19643,0.35298,0.9,0.19833,0.34787,0.9,38.79,34.68,148.0,151.9
0.19,0.19495,0.32269,0.9,0.19634,0.35116,0.9,0.19735,0.34688,0.9,30.33,26.54,148.0,151.7
0.2059,0.18956,0.32769,0.9,0.19593,0.34975,0.9,0.19564,0.3467,0.9,24.43,21.36,148.0,151.6
0.2214,0.20466,0.31532,0.9,0.19646,0.34769,0.9,0.19401,0.34658,0.9,35.52,20.06,189.2,153.1
0.237,0.1973,0.32087,0.9,0.19651,0.34608,0.9,0.19262,0.34567,0.9,26.83,17.17,189.2,154.5
0.2528,0.19135,0.32603,0.9,0.1962,0.34487,0.9,0.19107,0.34511,0.9,20.7,15.12,189.2,155.9
0.2683,0.18807,0.32907,0.9,0.19571,0.34393,0.9,0.18946,0.34481,0.9,17.77,13.58,194.3,157.5
0.2845,0.18355,0.33334,0.9,0.19498,0.34329,0.9,0.18778,0.34476,0.9,16.12,12.44,194.3,158.9
0.3007,0.18144,0.33555,0.9,0.19417,0.34283,0.9,0.18606,0.34484,0.9,15.6,11.69,194.3,160.4
0.3165,0.1771,0.3401,0.9,0.19314,0.34266,0.9,0.18426,0.34524,0.9,17.29,11.22,179.7,161.1
0.3323,0.17533,0.34242,0.9,0.19208,0.34265,0.9,0.18244,0.34585,0.9,17.82,10.92,179.7,161.9
0.3477,0.17361,0.34468,0.9,0.19097,0.34277,0.9,0.18058,0.34666,0.9,18.57,10.96,179.7,162.6
0.363,0.17344,0.34491,0.9,0.18992,0.3429,0.9,0.17867,0.34753,0.9,17.66,11.14,190.6,163.7
0.3798,0.17136,0.3473,0.9,0.1888,0.34316,0.9,0.17661,0.34855,0.9,19.08,12.14,190.6,164.8
0.395,0.16874,0.34925,0.9,0.1876,0.34353,0.9,0.17447,0.34962,0.9,20.97,12.42,190.6,165.8
0.4104,0.15978,0.35582,0.9,0.18593,0.34427,0.9,0.1721,0.35081,0.9,30.41,12.45,125.3,164.2
0.4268,0.16064,0.3572,0.9,0.18441,0.34504,0.9,0.1695,0.35211,0.9,28.41,12.7,125.3,162.6
0.4434,0.1615,0.35858,0.9,0.18304,0.34585,0.9,0.16707,0.35352,0.9,26.61,10.46,125.3,161.1
0.4602,0.16031,0.35667,0.9,0.18167,0.3465,0.9,0.16508,0.35494,0.9,25.17,7.42,166.9,161.4
0.4764,0.16115,0.35803,0.9,0.18044,0.3472,0.9,0.16338,0.35643,0.9,23.53,5.07,166.9,161.6
0.4945,0.16145,0.35939,0.9,0.1793,0.34793,0.9,0.16188,0.35788,0.9,22.57,3.39,153.8,161.3
0.51,0.16135,0.35968,0.9,0.17823,0.34863,0.9,0.16055,0.3592,0.9,21.46,1.75,153.8,161.0
0.5257,0.16223,0.35958,0.9,0.17727,0.34929,0.9,0.15944,0.36038,0.9,19.39,1.37,153.8,160.7
0.5411,0.16206,0.3596,0.9,0.17635,0.34991,0.9,0.15855,0.36142,0.9,18.38,3.1,167.5,161.0
0.5579,0.16299,0.3595,0.9,0.17555,0.35048,0.9,0.1579,0.36234,0.9,16.45,5.18,167.5,161.2
0.5732,0.16386,0.35941,0.9,0.17485,0.35102,0.9,0.15745,0.36314,0.9,14.71,6.85,167.5,161.5
0.5899,0.16389,0.35941,0.9,0.17419,0.35152,0.9,0.15715,0.36381,0.9,13.8,8.15,182.8,162.3
0.6084,0.16451,0.3592,0.9,0.17361,0.35198,0.9,0.15698,0.36436,0.9,12.36,9.36,182.8,163.1
0.6244,0.17177,0.35897,0.9,0.1735,0.3524,0.9,0.15705,0.36484,0.9,7.22,11.04,102.5,160.7
