timestamp,target_x,target_y,target_z,std_x,std_y,std_z,prop_x,prop_y,prop_z,err_std_mm,err_prop_mm,delay_ms,tau_filt_ms
0.0,0.14637,0.31651,0.9,0.17798,0.39499,0.9,0.17765,0.39416,0.9,90.0,90.0,105.1,148.2
0.0457,0.14035,0.32033,0.9,0.17572,0.39051,0.9,0.17504,0.38899,0.9,83.61,82.72,113.0,146.8
0.1579,0.12862,0.32778,0.9,0.1729,0.38675,0.9,0.17179,0.3847,0.9,78.45,76.82,110.5,145.3
0.2061,0.12564,0.32977,0.9,0.17006,0.38333,0.9,0.16856,0.38086,0.9,74.03,71.75,145.3,145.3
0.2577,0.12019,0.33339,0.9,0.16707,0.38033,0.9,0.16517,0.37753,0.9,70.58,67.77,164.4,146.1
0.3045,0.11753,0.33467,0.9,0.1641,0.37759,0.9,0.16184,0.37453,0.9,67.38,64.09,114.8,144.9
0.3834,0.1172,0.33476,0.9,0.16128,0.37502,0.9,0.15871,0.37175,0.9,63.51,59.78,141.6,144.7
0.4328,0.11748,0.3349,0.9,0.15866,0.37262,0.9,0.15582,0.36917,0.9,59.4,55.29,154.0,145.1
0.4666,0.11792,0.33506,0.9,0.15621,0.37036,0.9,0.15317,0.36678,0.9,55.41,50.99,138.0,144.8
0.5274,0.1179,0.3354,0.9,0.15391,0.36826,0.9,0.1507,0.36459,0.9,51.87,47.21,153.7,145.2
0.5588,0.11811,0.33491,0.9,0.15177,0.36626,0.9,0.14842,0.36251,0.9,48.93,44.08,146.2,145.2
0.6072,0.11638,0.33466,0.9,0.14964,0.36437,0.9,0.14618,0.36056,0.9,47.44,42.45,106.6,143.7
0.6724,0.11859,0.33521,0.9,0.14778,0.36262,0.9,0.14425,0.35878,0.9,42.6,37.47,141.0,143.6
0.7349,0.11644,0.33565,0.9,0.1459,0.361,0.9,0.1423,0.35716,0.9,41.35,36.17,158.0,144.1
0.7809,0.11852,0.33584,0.9,0.14426,0.35949,0.9,0.14037,0.35462,0.9,37.18,31.94,146.3,144.2
0.8723,0.11841,0.33412,0.9,0.14271,0.35797,0.9,0.13834,0.35237,0.9,36.21,30.04,186.5,145.9
0.902,0.11805,0.33387,0.9,0.14123,0.35652,0.9,0.1364,0.35035,0.9,34.47,27.46,187.2,147.6
0.9489,0.11663,0.33415,0.9,0.13975,0.35518,0.9,0.13445,0.34859,0.9,33.25,25.56,195.0,149.5
0.9797,0.11647,0.33411,0.9,0.13835,0.35391,0.9,0.13258,0.34692,0.9,31.4,23.09,177.1,150.6
1.0105,0.11685,0.33424,0.9,0.13706,0.35273,0.9,0.1309,0.34549,0.9,29.15,20.2,102.4,148.6
1.1435,0.11843,0.33368,0.9,0.13594,0.35159,0.9,0.12945,0.34416,0.9,26.65,17.17,173.2,149.6
1.2222,0.1171,0.33438,0.9,0.13481,0.35056,0.9,0.12801,0.34293,0.9,25.52,15.75,200.0,151.6
1.2381,0.11848,0.33423,0.9,0.13383,0.34958,0.9,0.12678,0.34182,0.9,23.09,12.9,181.6,152.8
1.2539,0.12198,0.33589,0.9,0.13312,0.34876,0.9,0.12583,0.34089,0.9,18.11,7.62,149.3,152.7
1.2703,0.11936,0.33455,0.9,0.1323,0.34791,0.9,0.12486,0.33998,0.9,19.78,9.06,117.9,151.3
1.3892,0.11694,0.33321,0.9,0.13138,0.34702,0.9,0.12391,0.33914,0.9,21.26,10.42,104.9,149.4
1.5233,0.11936,0.3345,0.9,0.13065,0.34627,0.9,0.12313,0.3384,0.9,17.36,6.5,179.3,150.6
1.5686,0.11726,0.33423,0.9,0.12985,0.34555,0.9,0.12228,0.33773,0.9,18.01,7.2,199.8,152.6
1.5845,0.1169,0.33449,0.9,0.12907,0.34489,0.9,0.12153,0.33714,0.9,17.03,6.27,116.8,151.2
1.6586,0.11912,0.3344,0.9,0.12848,0.34426,0.9,0.12098,0.33659,0.9,14.46,3.65,140.7,150.8
1.708,0.11778,0.33426,0.9,0.12784,0.34366,0.9,0.12041,0.3361,0.9,14.64,3.96,154.3,150.9
1.7967,0.11626,0.3339,0.9,0.12714,0.34307,0.9,0.11984,0.33571,0.9,15.14,4.7,121.0,149.7
1.8418,0.11503,0.33415,0.9,0.12641,0.34254,0.9,0.11929,0.33537,0.9,15.04,5.05,144.3,149.5
1.9184,0.1146,0.33383,0.9,0.12571,0.34201,0.9,0.1188,0.33506,0.9,14.68,4.94,153.9,149.7
